id,sumber,kelompok,nama_kelompok,kategori,sepakat_3_algoritma,jarak_ke_pusat
0,latih,15,PCB dan tumpukan campuran,komponen,0,0.9522
1,latih,15,PCB dan tumpukan campuran,komponen,1,0.7062
2,latih,9,Laptop,layar,1,0.4543
3,latih,15,PCB dan tumpukan campuran,komponen,0,0.9211
4,latih,15,PCB dan tumpukan campuran,komponen,0,0.7352
5,latih,15,PCB dan tumpukan campuran,komponen,0,1.0741
6,latih,14,Ponsel,ti,1,0.5892
7,latih,15,PCB dan tumpukan campuran,komponen,1,0.7863
8,latih,10,Keyboard,ti,0,0.7107
9,latih,9,Laptop,layar,1,0.8109
10,latih,15,PCB dan tumpukan campuran,komponen,0,0.594
11,latih,15,PCB dan tumpukan campuran,komponen,0,0.9874
12,latih,15,PCB dan tumpukan campuran,komponen,0,0.7768
13,latih,15,PCB dan tumpukan campuran,komponen,1,0.7319
14,latih,15,PCB dan tumpukan campuran,komponen,0,0.9156
15,latih,15,PCB dan tumpukan campuran,komponen,1,0.7886
16,latih,15,PCB dan tumpukan campuran,komponen,0,0.9144
17,latih,9,Laptop,layar,1,0.8458
18,latih,15,PCB dan tumpukan campuran,komponen,0,0.898
19,latih,15,PCB dan tumpukan campuran,komponen,0,1.0341
20,latih,3,TV/monitor CRT,layar,1,0.546
21,latih,10,Keyboard,ti,0,0.7423
22,latih,9,Laptop,layar,1,0.5259
23,latih,3,TV/monitor CRT,layar,1,0.4839
24,latih,3,TV/monitor CRT,layar,0,0.6636
25,latih,3,TV/monitor CRT,layar,0,0.9005
26,latih,15,PCB dan tumpukan campuran,komponen,0,0.9508
27,latih,15,PCB dan tumpukan campuran,komponen,1,0.8544
28,latih,15,PCB dan tumpukan campuran,komponen,0,0.975
29,latih,4,Baterai ponsel/kamera,baterai,0,0.9197
30,latih,9,Laptop,layar,1,0.6631
31,latih,9,Laptop,layar,1,0.8682
32,latih,15,PCB dan tumpukan campuran,komponen,1,0.7207
33,latih,15,PCB dan tumpukan campuran,komponen,0,0.7421
34,latih,15,PCB dan tumpukan campuran,komponen,0,0.6373
35,latih,3,TV/monitor CRT,layar,0,0.9841
36,latih,9,Laptop,layar,0,0.8564
37,latih,10,Keyboard,ti,1,0.5103
38,latih,15,PCB dan tumpukan campuran,komponen,0,0.9153
39,latih,9,Laptop,layar,1,0.7653
40,latih,15,PCB dan tumpukan campuran,komponen,0,1.0566
41,latih,15,PCB dan tumpukan campuran,komponen,0,0.9534
42,latih,3,TV/monitor CRT,layar,0,0.796
43,latih,15,PCB dan tumpukan campuran,komponen,1,0.8767
44,latih,15,PCB dan tumpukan campuran,komponen,0,0.7435
45,latih,15,PCB dan tumpukan campuran,komponen,1,0.834
46,latih,15,PCB dan tumpukan campuran,komponen,0,0.8621
47,latih,15,PCB dan tumpukan campuran,komponen,0,0.8077
48,latih,2,Turntable,kecil,0,1.0248
49,latih,15,PCB dan tumpukan campuran,komponen,0,0.8934
50,latih,15,PCB dan tumpukan campuran,komponen,1,0.7051
51,latih,15,PCB dan tumpukan campuran,komponen,0,0.9462
52,latih,15,PCB dan tumpukan campuran,komponen,0,0.9666
53,latih,15,PCB dan tumpukan campuran,komponen,0,0.926
54,latih,15,PCB dan tumpukan campuran,komponen,1,0.622
55,latih,10,Keyboard,ti,1,0.5672
56,latih,15,PCB dan tumpukan campuran,komponen,0,0.7371
57,latih,3,TV/monitor CRT,layar,0,0.8443
58,latih,15,PCB dan tumpukan campuran,komponen,1,0.6088
59,latih,15,PCB dan tumpukan campuran,komponen,1,0.6242
60,latih,15,PCB dan tumpukan campuran,komponen,0,0.9406
61,latih,15,PCB dan tumpukan campuran,komponen,0,0.7722
62,latih,15,PCB dan tumpukan campuran,komponen,0,0.8731
63,latih,15,PCB dan tumpukan campuran,komponen,0,0.6585
64,latih,3,TV/monitor CRT,layar,0,0.8471
65,latih,9,Laptop,layar,1,0.6078
66,latih,15,PCB dan tumpukan campuran,komponen,0,1.0101
67,latih,15,PCB dan tumpukan campuran,komponen,0,0.9029
68,latih,15,PCB dan tumpukan campuran,komponen,0,0.8899
69,latih,3,TV/monitor CRT,layar,0,0.8336
70,latih,15,PCB dan tumpukan campuran,komponen,0,1.0082
71,latih,15,PCB dan tumpukan campuran,komponen,1,0.7296
72,latih,15,PCB dan tumpukan campuran,komponen,0,0.8679
73,latih,15,PCB dan tumpukan campuran,komponen,0,0.9746
74,latih,15,PCB dan tumpukan campuran,komponen,0,0.551
75,latih,3,TV/monitor CRT,layar,1,0.4213
76,latih,15,PCB dan tumpukan campuran,komponen,1,0.5662
77,latih,9,Laptop,layar,1,0.8182
78,latih,14,Ponsel,ti,1,0.7127
79,latih,15,PCB dan tumpukan campuran,komponen,0,0.8807
80,latih,15,PCB dan tumpukan campuran,komponen,1,0.5129
81,latih,15,PCB dan tumpukan campuran,komponen,0,1.0298
82,latih,3,TV/monitor CRT,layar,1,0.4438
83,latih,10,Keyboard,ti,1,0.5745
84,latih,15,PCB dan tumpukan campuran,komponen,1,0.7337
85,latih,7,TV/monitor layar datar,layar,0,0.7497
86,latih,15,PCB dan tumpukan campuran,komponen,0,0.8933
87,latih,15,PCB dan tumpukan campuran,komponen,0,0.9343
88,latih,9,Laptop,layar,1,0.8171
89,latih,9,Laptop,layar,1,0.6424
90,latih,15,PCB dan tumpukan campuran,komponen,0,0.9764
91,latih,15,PCB dan tumpukan campuran,komponen,1,0.7473
92,latih,3,TV/monitor CRT,layar,0,0.9245
93,latih,9,Laptop,layar,1,0.6849
94,latih,15,PCB dan tumpukan campuran,komponen,0,0.7449
95,latih,15,PCB dan tumpukan campuran,komponen,0,0.7638
96,latih,10,Keyboard,ti,1,0.4721
97,latih,9,Laptop,layar,1,0.8146
98,latih,15,PCB dan tumpukan campuran,komponen,0,0.8073
99,latih,14,Ponsel,ti,1,0.2943
100,latih,15,PCB dan tumpukan campuran,komponen,0,0.8836
101,latih,9,Laptop,layar,1,0.6434
102,latih,15,PCB dan tumpukan campuran,komponen,0,0.7145
103,latih,15,PCB dan tumpukan campuran,komponen,1,0.5592
104,latih,15,PCB dan tumpukan campuran,komponen,0,0.4945
105,latih,15,PCB dan tumpukan campuran,komponen,1,0.7195
106,latih,15,PCB dan tumpukan campuran,komponen,0,0.8858
107,latih,9,Laptop,layar,1,0.6876
108,latih,15,PCB dan tumpukan campuran,komponen,0,0.9208
109,latih,8,Mesin cuci front-load,besar,1,0.4685
110,latih,15,PCB dan tumpukan campuran,komponen,1,0.7057
111,latih,15,PCB dan tumpukan campuran,komponen,1,0.8206
112,latih,14,Ponsel,ti,1,0.6393
113,latih,15,PCB dan tumpukan campuran,komponen,0,0.8807
114,latih,3,TV/monitor CRT,layar,0,0.7685
115,latih,15,PCB dan tumpukan campuran,komponen,0,0.9209
116,latih,15,PCB dan tumpukan campuran,komponen,0,0.8895
117,latih,10,Keyboard,ti,1,0.598
118,latih,14,Ponsel,ti,1,0.6778
119,latih,9,Laptop,layar,1,0.5721
120,latih,15,PCB dan tumpukan campuran,komponen,0,0.9345
121,latih,15,PCB dan tumpukan campuran,komponen,0,0.9146
122,latih,9,Laptop,layar,1,0.6957
123,latih,9,Laptop,layar,1,0.6654
124,latih,9,Laptop,layar,1,0.7185
125,latih,9,Laptop,layar,1,0.44
126,latih,9,Laptop,layar,1,0.49
127,latih,9,Laptop,layar,1,0.5169
128,latih,9,Laptop,layar,1,0.6883
129,latih,9,Laptop,layar,1,0.6966
130,latih,9,Laptop,layar,1,0.8003
131,latih,15,PCB dan tumpukan campuran,komponen,0,0.8873
132,latih,3,TV/monitor CRT,layar,0,0.8141
133,latih,15,PCB dan tumpukan campuran,komponen,0,0.9463
134,latih,15,PCB dan tumpukan campuran,komponen,0,1.0353
135,latih,15,PCB dan tumpukan campuran,komponen,0,0.7844
136,latih,15,PCB dan tumpukan campuran,komponen,0,0.9786
137,latih,15,PCB dan tumpukan campuran,komponen,0,0.9486
138,latih,15,PCB dan tumpukan campuran,komponen,1,0.7478
139,latih,15,PCB dan tumpukan campuran,komponen,0,0.8665
140,latih,3,TV/monitor CRT,layar,0,0.8262
141,latih,15,PCB dan tumpukan campuran,komponen,0,0.8491
142,latih,15,PCB dan tumpukan campuran,komponen,1,0.7082
143,latih,15,PCB dan tumpukan campuran,komponen,0,0.8361
144,latih,15,PCB dan tumpukan campuran,komponen,0,0.7179
145,latih,5,Pemutar CD/radio,kecil,0,0.8454
146,latih,10,Keyboard,ti,1,0.4487
